وزن الشمعه ,250,,,,,,,وزن الشمعه ,250,,,
المكونات ,ksfm,الوزن المطلوب ,سعر الجرام,التكلفه ,,,,المكونات ,النسبة,الوزن المطلوب ,سعر الجرام,التكلفه 
اموك,40%,100,0.1,10,,,,,,,,0
 نخيل ,40%,100,0.16,16,,,,عسل,90%,225,0.255,57.375
ميكرو كرستالين ,0.1,25,0.33,8.25,,,,,,,,0
عطر ,0.1,25,3.5,87.5,,,,عطر ,0.1,25,3.5,87.5
الفتيل  و الشنطة,,,,13,,,, الشنطة,,,,10
الشحن ,,,,1,,,,البرطماااااااااان,,,,35
الكهربة ,,,,1,,,,الكهربة + الشحن + الفتيل,,,,3
الهالك ,,,,6.0875,,,,الهالك ,,,,9.64375
سعر المنتج ,,,,142.8375,,,,سعر المنتج ,,,,202.51875
,,,,,,,,,,,,
شمع العسل الكيلو ب 250ج,,,,,,,,,,,,
 كيلو سعر صويا 350 ج,,,,,,,,,,,,
تمن  جار زجاج 250 جرام ب 35 ج,,,,,,,,,,,,
